AW1,AW2,AW3
53.525,69.049,66.617
50.563,68.98,66.666
34.108,34.245,40.335
47.092,73.785,55.28
43.149,37.069,41.188
49.847,63.302,57.143
48.249,88.456,80.307
31.107,38.638,43.944
32.215,35.206,31.293
37.707,35.127,46.16
27.164,36.893,27.39
36.549,37.844,37.099
28.537,32.744,31.979
43.846,39.913,42.139
23.86,27.017,24.762
34.951,45.836,32.489
31.47,40.129,44.159
32.362,40.815,47.68
40.197,54.878,57.124
42.934,53.917,52.466
37.854,39.884,20.927
40.305,64.057,41.698
35.618,36.206,35.647
29.871,38.805,36.02
42.737,59.075,56.447
26.968,34.794,36.245
44.012,44.856,39.942
33.029,32.048,29.783
29.469,45.081,38.069
37.913,45.885,46.503
37.952,38.53,41.041
29.498,39.531,41.463
32.009,24.899,25.242
38.138,35.098,31.43
40.894,39.648,49.857
30.862,36.912,34.755
49.808,56.045,55.437
45.15,69.784,68.97
26.654,37.255,32.303
40.129,99.596,85.828
38.981,42.08,32.185
47.101,46.788,48.651
37.609,42.884,31.175
36.589,43.679,44.581
42.59,124.074,131.36
45.925,72.098,80.856
40.747,70.196,54.535
54.535,61.193,58.86
30.097,46.189,42.855
28.743,35.049,38.236
41.796,35.471,37.363
35.637,39.413,35.951
36.069,44.287,31.617
35.127,44.032,43.934
40.266,32.058,47.543
46.876,73.413,92.477
23.938,48.033,52.828
44.787,55.829,42.943
35.716,35.245,29.518
32.244,39.089,35.235
40.923,45.287,42.61
32.225,61.027,56.074
39.491,51.151,52.289
41.188,50.347,62.655
30.93,34.431,33.735
30.881,53.162,48.994
37.246,43.336,38.05
36.569,43.277,32.784
41.678,52.152,55.045
33.166,57.085,55.005
42.639,50.387,40.296
29.999,44.748,39.825
37.452,41.07,45.385
21.084,22.173,21.604
29.753,31.734,31.097
23.34,27.547,22.977
32.362,37.491,38.707
34.49,39.246,39.403
35.667,46.199,45.562
25.478,35.196,34.686
46.738,62.557,53.789
29.351,37.206,31.136
34.941,41.345,48.445
28.792,35.657,33.745
49.818,38.521,38.305
27.145,63.106,49.749
32.597,32.146,35.412
47.425,51.72,61.419
39.746,33.137,35.069
48.298,42.208,39.658
41.433,39.423,43.826
28.802,44.748,30.097
31.117,40.59,33.323
24.095,45.366,45.062
27.616,39.864,38.805
42.021,86.74,76.58
50.083,56.025,53.888
40.296,65.489,56.241
47.817,42.777,45.954
45.817,56.751,58.153
39.521,47.503,41.992
30.332,33.558,34.206
48.523,54.407,59.811
39.021,57.428,57.271
41.972,55.555,55.398
33.48,52.524,52.495
50.72,53.368,45.738
39.609,66.283,61.635
36.157,46.856,63.616
29.695,62.87,56.516
35.52,42.6,47.67
41.806,32.548,37.716
43.591,34.264,32.078
46.66,56.526,48.739
31.911,37.334,37.697
53.044,76.002,76.384
45.797,51.132,46.65
41.914,59.271,52.26
38.05,83.768,59.085
32.303,34.039,44.081
29.459,54.682,48.974
35.343,68.647,73.069
48.268,56.035,57.545
33.392,56.025,56.496
41.002,36.618,30.508
37.255,57.438,44.846
41.629,60.419,58.399
44.738,44.748,31.479
43.728,38.648,40.001
36.422,44.983,44.444
44.218,51.063,44.532
30.675,35.186,35.382
37.412,72.108,64.508
47.66,39.482,36.795
30.685,33.941,35.137
35.608,68.323,58.163
38.109,34.029,33.627
31.205,54.378,44.63
43.581,62.694,73.834
47.131,45.13,39.305
55.574,58.202,54.652
30.832,35.49,33.088
32.656,62.782,63.812
39.962,59.84,69.117
39.835,73.824,71.285
46.915,64.253,65.95
96.605,112.031,84.984
46.503,83.759,88.878
56.32,91.349,94.32
37.952,32.362,32.99
50.141,95.615,87.112
31.215,48.455,39.295
29.979,38.756,34.872
39.138,76.59,65.45
50.985,77.531,70.598
31.273,36.951,31.234
46.434,92.379,98.822
45.493,82.807,77.669
29.322,41.198,35.667
32.431,35.608,33.264
40.423,38.521,36.579
39.285,32.264,37.971
42.169,72.255,67.636
48.612,50.21,37.432
32.96,53.966,53.172
30.254,39.403,34.931
31.832,32.666,42.08
40.884,75.619,77.463
40.59,65.812,69.088
32.96,29.969,28.832
44.414,76.717,77.012
40.619,37.618,28.037
32.46,44.973,42.757
43.032,58.575,63.253
44.101,73.972,65.95
38.442,43.306,37.893
43.012,94.163,76.492
38.726,71.971,76.551
42.708,67.342,85.592
49.896,51.985,54.652
40.658,37.295,32.146
34.0,40.56,36.343
76.776,68.607,59.968
42.835,74.629,70.461
27.41,36.785,36.647
29.783,38.609,40.021
31.891,26.37,26.625
42.747,89.142,84.445
43.208,75.443,81.081
32.097,47.994,49.327
38.315,36.285,36.883
36.324,43.777,35.265
46.268,37.226,37.363
35.255,50.357,46.513
46.68,48.317,53.466
31.636,70.775,65.685
48.455,44.973,24.477
42.198,81.307,68.313
39.393,43.806,57.565
30.45,56.398,55.839
40.492,72.912,72.01
45.581,56.771,54.603
58.418,59.369,44.414
34.323,40.217,41.08
38.03,60.203,62.204
47.17,59.154,57.771
50.71,59.134,62.037
42.463,64.822,47.758
48.749,59.87,51.348
53.927,98.508,95.821
43.64,95.134,87.926
32.058,39.942,33.745
41.266,50.455,49.818
25.948,33.264,31.793
41.943,36.579,40.384
40.884,35.118,36.236
28.508,29.4,28.616
36.775,39.913,50.72
47.425,77.384,81.444
28.988,25.036,27.821
39.148,50.2,51.083
47.582,72.304,71.186
33.48,67.097,58.016
33.862,38.54,37.559
33.745,33.205,34.755
38.589,42.414,33.215
35.373,36.177,34.47
34.215,39.472,40.452
32.283,34.068,34.127
34.98,56.781,55.564
43.846,39.197,40.05
29.959,107.304,103.097
42.453,70.284,70.951
33.539,39.491,35.431
40.933,54.162,53.181
35.951,35.608,39.266
45.964,66.891,44.669
39.021,80.532,77.855
53.083,59.958,55.437
24.889,38.736,39.609
46.837,33.696,27.488
40.678,47.67,43.895
26.556,36.422,35.539
43.806,46.984,41.306
37.04,38.677,32.254
38.874,59.938,67.323
42.924,46.474,44.248
33.205,41.786,43.365
54.035,68.499,74.776
40.08,35.755,35.059
